---
title: Japanese Geiger Counter Readings During the Fukushima Nuclear Disaster
revision: 2015-06-10
author: Jonas Schöley <jonas.schoeley@kolabnow.com>
license: cc-by
description: During the disaster private individuals streamed their Geiger counter readings via webcam to the internet. This dataset contains readings from some of these web-streams over time. Note that these are not official readings but readings provided by private individuals.
---

Source,Time,Value,Unit
tokyo2,2011-03-20 04:19 CET,21.3,cpm
tokyo2,2011-03-20 04:49 CET,21.2,cpm
tokyo2,2011-03-20 05:19 CET,21.2,cpm
tokyo2,2011-03-20 05:49 CET,21.2,cpm
tokyo2,2011-03-20 06:19 CET,21.2,cpm
tokyo2,2011-03-20 06:49 CET,21.2,cpm
tokyo2,2011-03-20 07:19 CET,21.2,cpm
tokyo2,2011-03-20 07:49 CET,21.2,cpm
tokyo2,2011-03-20 08:19 CET,21.1,cpm
tokyo2,2011-03-20 08:49 CET,21.1,cpm
tokyo2,2011-03-20 09:19 CET,21,cpm
tokyo2,2011-03-20 09:49 CET,21,cpm
tokyo2,2011-03-20 10:19 CET,19.5,cpm
tokyo2,2011-03-20 10:49 CET,19.7,cpm
tokyo2,2011-03-20 11:19 CET,20.1,cpm
tokyo2,2011-03-20 11:49 CET,20.4,cpm
tokyo2,2011-03-20 12:19 CET,20.7,cpm
tokyo2,2011-03-20 12:49 CET,20.7,cpm
tokyo2,2011-03-20 13:18 CET,20.4,cpm
tokyo2,2011-03-20 13:48 CET,20.6,cpm
tokyo2,2011-03-20 14:19 CET,20.7,cpm
tokyo2,2011-03-20 14:49 CET,20.7,cpm
tokyo2,2011-03-20 15:19 CET,21.1,cpm
tokyo2,2011-03-20 15:49 CET,20.7,cpm
tokyo2,2011-03-20 16:19 CET,20.4,cpm
tokyo2,2011-03-20 16:49 CET,20.4,cpm
tokyo2,2011-03-20 17:18 CET,20.5,cpm
tokyo2,2011-03-20 17:49 CET,20.4,cpm
tokyo2,2011-03-20 18:18 CET,20.3,cpm
tokyo2,2011-03-20 18:49 CET,20.2,cpm
tokyo2,2011-03-20 19:19 CET,20.3,cpm
tokyo2,2011-03-20 19:48 CET,20.2,cpm
tokyo2,2011-03-20 20:19 CET,20.2,cpm
tokyo2,2011-03-20 20:49 CET,20.3,cpm
tokyo2,2011-03-20 21:19 CET,20.3,cpm
tokyo2,2011-03-20 21:48 CET,20.4,cpm
tokyo2,2011-03-21 00:56 CET,20.6,cpm
tokyo2,2011-03-21 01:26 CET,20.7,cpm
tokyo2,2011-03-21 01:56 CET,20.8,cpm
tokyo2,2011-03-21 02:26 CET,21,cpm
tokyo2,2011-03-21 02:56 CET,21.2,cpm
tokyo2,2011-03-21 03:26 CET,21.4,cpm
tokyo2,2011-03-21 03:56 CET,21.5,cpm
tokyo2,2011-03-21 04:26 CET,21.7,cpm
tokyo2,2011-03-21 04:56 CET,21.8,cpm
tokyo2,2011-03-21 05:26 CET,22,cpm
tokyo2,2011-03-21 05:56 CET,22.1,cpm
tokyo2,2011-03-21 06:26 CET,22.2,cpm
tokyo2,2011-03-21 06:56 CET,22.2,cpm
tokyo2,2011-03-21 07:26 CET,22.2,cpm
tokyo2,2011-03-21 07:56 CET,22.3,cpm
tokyo2,2011-03-21 08:26 CET,22.4,cpm
tokyo2,2011-03-21 08:56 CET,22.5,cpm
tokyo2,2011-03-21 09:26 CET,22.6,cpm
tokyo2,2011-03-21 09:56 CET,22.6,cpm
tokyo2,2011-03-21 10:26 CET,22.6,cpm
tokyo2,2011-03-21 10:56 CET,22.7,cpm
tokyo2,2011-03-21 11:26 CET,22.8,cpm
tokyo2,2011-03-21 11:56 CET,22.8,cpm
tokyo2,2011-03-21 12:26 CET,22.9,cpm
tokyo2,2011-03-21 12:56 CET,22.9,cpm
tokyo2,2011-03-21 13:26 CET,22.9,cpm
tokyo2,2011-03-21 13:56 CET,23,cpm
tokyo2,2011-03-21 14:26 CET,23.06,cpm
tokyo2,2011-03-21 14:56 CET,23.1,cpm
tokyo2,2011-03-21 15:26 CET,23.2,cpm
tokyo2,2011-03-21 15:56 CET,24.2,cpm
tokyo2,2011-03-21 16:26 CET,25.7,cpm
tokyo2,2011-03-21 16:56 CET,25.7,cpm
tokyo2,2011-03-21 17:26 CET,25.6,cpm
tokyo2,2011-03-21 17:56 CET,25.8,cpm
tokyo2,2011-03-21 18:26 CET,25.7,cpm
tokyo2,2011-03-21 18:56 CET,25.6,cpm
tokyo2,2011-03-21 19:26 CET,25.6,cpm
tokyo2,2011-03-21 19:56 CET,25.4,cpm
tokyo2,2011-03-21 20:26 CET,25.5,cpm
tokyo2,2011-03-21 22:18 CET,25.1,cpm
tokyo2,2011-03-21 23:19 CET,25.6,cpm
tokyo2,2011-03-22 00:19 CET,25.5,cpm
tokyo2,2011-03-22 01:26 CET,25.5,cpm
tokyo2,2011-03-22 02:27 CET,25.5,cpm
tokyo2,2011-03-22 03:27 CET,25.5,cpm
tokyo2,2011-03-22 04:27 CET,25.3,cpm
tokyo2,2011-03-22 05:27 CET,25.2,cpm
tokyo2,2011-03-22 06:27 CET,25.1,cpm
tokyo2,2011-03-22 07:27 CET,25.1,cpm
tokyo2,2011-03-22 08:27 CET,25,cpm
tokyo2,2011-03-22 09:27 CET,25,cpm
tokyo2,2011-03-22 10:27 CET,25,cpm
tokyo2,2011-03-22 11:27 CET,25.1,cpm
tokyo2,2011-03-22 12:26 CET,25.1,cpm
tokyo2,2011-03-22 13:27 CET,25.2,cpm
tokyo2,2011-03-22 14:27 CET,25.3,cpm
tokyo2,2011-03-22 15:27 CET,25.3,cpm
tokyo2,2011-03-22 16:28 CET,27.1,cpm
tokyo2,2011-03-22 17:27 CET,26.7,cpm
tokyo2,2011-03-22 19:54 CET,26.4,cpm
tokyo2,2011-03-22 20:53 CET,26.3,cpm
tokyo2,2011-03-22 21:53 CET,26.4,cpm
tokyo2,2011-03-22 22:54 CET,26.3,cpm
tokyo2,2011-03-22 23:54 CET,26.5,cpm
tokyo2,2011-03-23 00:54 CET,26.6,cpm
tokyo2,2011-03-23 01:54 CET,26.6,cpm
tokyo2,2011-03-23 02:54 CET,26.5,cpm
tokyo2,2011-03-23 03:54 CET,26.6,cpm
tokyo2,2011-03-23 04:54 CET,26.6,cpm
tokyo2,2011-03-23 05:54 CET,26.5,cpm
tokyo2,2011-03-23 14:48 CET,26.06,cpm
tokyo2,2011-03-23 15:48 CET,25.99,cpm
tokyo2,2011-03-23 16:48 CET,25.17,cpm
tokyo2,2011-03-23 17:48 CET,25.59,cpm
tokyo2,2011-03-23 18:48 CET,25.74,cpm
tokyo2,2011-03-23 19:48 CET,25.46,cpm
tokyo2,2011-03-23 20:48 CET,25.75,cpm
tokyo2,2011-03-23 21:48 CET,25.89,cpm
tokyo2,2011-03-23 22:48 CET,25.76,cpm
tokyo2,2011-03-23 23:48 CET,25.8,cpm
tokyo2,2011-03-24 00:48 CET,25.69,cpm
tokyo2,2011-03-24 01:48 CET,25.56,cpm
tokyo2,2011-03-24 02:48 CET,25.54,cpm
tokyo2,2011-03-24 03:49 CET,25.5,cpm
tokyo2,2011-03-24 04:49 CET,25.42,cpm
tokyo2,2011-03-24 05:49 CET,25.41,cpm
tokyo2,2011-03-25 00:48 CET,24.68,cpm
tokyo2,2011-03-25 01:49 CET,24.75,cpm
tokyo2,2011-03-25 02:49 CET,24.84,cpm
tokyo2,2011-03-25 03:49 CET,24.85,cpm
tokyo2,2011-03-25 04:49 CET,24.78,cpm
tokyo2,2011-03-25 05:49 CET,24.75,cpm
tokyo2,2011-03-25 06:49 CET,24.7,cpm
tokyo2,2011-03-25 07:48 CET,24.64,cpm
tokyo2,2011-03-25 08:48 CET,24.59,cpm
tokyo2,2011-03-26 15:09 CET,23.92,cpm
tokyo2,2011-03-26 16:10 CET,22.74,cpm
tokyo2,2011-03-26 17:10 CET,24.3,cpm
tokyo2,2011-03-26 19:10 CET,23.6,cpm
tokyo2,2011-03-26 20:10 CET,23.69,cpm
tokyo2,2011-03-26 21:10 CET,23.39,cpm
tokyo2,2011-03-27 17:38 CEST,23.48,cpm
tokyo2,2011-03-27 18:38 CEST,23.01,cpm
tokyo2,2011-03-27 19:38 CEST,22.96,cpm
tokyo2,2011-03-28 13:25 CEST,22.33,cpm
tokyo2,2011-03-28 14:24 CEST,22.34,cpm
tokyo2,2011-03-28 23:34 CEST,22.49,cpm
tokyo2,2011-03-29 01:35 CEST,22.47,cpm
tokyo2,2011-03-29 02:35 CEST,22.52,cpm
tokyo2,2011-03-29 03:35 CEST,22.49,cpm
tokyo2,2011-03-29 04:36 CEST,22.38,cpm
tokyo2,2011-03-29 05:36 CEST,22.41,cpm
tokyo2,2011-03-29 06:36 CEST,22.4,cpm
tokyo2,2011-03-29 07:36 CEST,22.43,cpm
tokyo2,2011-03-29 08:36 CEST,22.39,cpm
tokyo2,2011-03-29 09:36 CEST,22.39,cpm
tokyo2,2011-03-29 10:36 CEST,22.38,cpm
tokyo2,2011-03-30 00:07 CEST,22.62,cpm
tokyo2,2011-03-30 01:07 CEST,22.81,cpm
tokyo2,2011-03-30 02:07 CEST,22.85,cpm
tokyo2,2011-03-30 03:07 CEST,22.94,cpm
tokyo2,2011-03-30 04:07 CEST,22.95,cpm
tokyo2,2011-03-30 05:07 CEST,23.01,cpm
tokyo2,2011-03-30 06:07 CEST,22.98,cpm
tokyo2,2011-03-30 07:07 CEST,22.99,cpm
tokyo2,2011-03-31 15:46 CEST,21.78,cpm
tokyo2,2011-04-02 22:36 CEST,22.27,cpm
tokyo3,2011-03-20 18:18 CET,0.13,msvh
tokyo3,2011-03-20 18:49 CET,0.12,msvh
tokyo3,2011-03-20 19:19 CET,0.11,msvh
tokyo3,2011-03-20 19:48 CET,0.14,msvh
tokyo3,2011-03-20 20:19 CET,0.15,msvh
tokyo3,2011-03-20 20:49 CET,0.11,msvh
tokyo3,2011-03-20 21:19 CET,0.15,msvh
tokyo3,2011-03-20 21:48 CET,0.11,msvh
tokyo3,2011-03-21 00:56 CET,0.12,msvh
tokyo3,2011-03-21 01:26 CET,0.12,msvh
tokyo3,2011-03-21 01:56 CET,0.1,msvh
tokyo3,2011-03-21 02:26 CET,0.15,msvh
tokyo3,2011-03-21 02:56 CET,0.15,msvh
tokyo3,2011-03-21 03:26 CET,0.13,msvh
tokyo3,2011-03-21 03:56 CET,0.13,msvh
tokyo3,2011-03-21 04:26 CET,0.16,msvh
tokyo3,2011-03-21 04:56 CET,0.14,msvh
tokyo3,2011-03-21 05:26 CET,0.14,msvh
tokyo3,2011-03-21 05:56 CET,0.14,msvh
tokyo3,2011-03-21 06:26 CET,0.13,msvh
tokyo3,2011-03-21 06:56 CET,0.13,msvh
tokyo3,2011-03-21 07:26 CET,0.14,msvh
tokyo3,2011-03-21 07:56 CET,0.12,msvh
tokyo3,2011-03-21 08:26 CET,0.12,msvh
tokyo3,2011-03-21 08:56 CET,0.12,msvh
tokyo3,2011-03-21 09:26 CET,0.19,msvh
tokyo3,2011-03-21 09:56 CET,0.11,msvh
tokyo3,2011-03-21 10:26 CET,0.17,msvh
tokyo3,2011-03-21 10:56 CET,0.13,msvh
tokyo3,2011-03-21 11:26 CET,0.16,msvh
tokyo3,2011-03-21 11:56 CET,0.15,msvh
tokyo3,2011-03-21 12:26 CET,0.17,msvh
tokyo3,2011-03-21 12:56 CET,0.18,msvh
tokyo3,2011-03-21 13:26 CET,0.12,msvh
tokyo3,2011-03-21 13:56 CET,0.16,msvh
tokyo3,2011-03-21 14:26 CET,0.13,msvh
tokyo3,2011-03-21 14:56 CET,0.14,msvh
tokyo3,2011-03-21 15:26 CET,0.13,msvh
tokyo3,2011-03-21 15:56 CET,0.12,msvh
tokyo3,2011-03-21 16:26 CET,0.15,msvh
tokyo3,2011-03-21 16:56 CET,0.13,msvh
tokyo3,2011-03-21 17:26 CET,0.15,msvh
tokyo3,2011-03-21 17:56 CET,0.16,msvh
tokyo3,2011-03-21 18:26 CET,0.12,msvh
tokyo3,2011-03-21 18:56 CET,0.15,msvh
tokyo3,2011-03-21 19:26 CET,0.13,msvh
tokyo3,2011-03-21 19:56 CET,0.12,msvh
tokyo3,2011-03-21 20:26 CET,0.11,msvh
tokyo3,2011-03-21 22:18 CET,0.14,msvh
tokyo3,2011-03-21 23:19 CET,0.13,msvh
tokyo3,2011-03-22 00:19 CET,0.13,msvh
tokyo3,2011-03-22 01:26 CET,0.18,msvh
tokyo3,2011-03-22 02:27 CET,0.11,msvh
tokyo3,2011-03-22 03:27 CET,0.14,msvh
tokyo3,2011-03-22 04:27 CET,0.13,msvh
tokyo3,2011-03-22 05:27 CET,0.12,msvh
tokyo3,2011-03-22 06:27 CET,0.12,msvh
tokyo3,2011-03-22 07:27 CET,0.18,msvh
tokyo3,2011-03-22 08:27 CET,0.17,msvh
tokyo3,2011-03-22 09:27 CET,0.12,msvh
tokyo3,2011-03-22 10:27 CET,0.11,msvh
tokyo3,2011-03-22 13:27 CET,0.11,msvh
tokyo3,2011-03-22 14:27 CET,0.14,msvh
tokyo3,2011-03-22 15:27 CET,0.15,msvh
tokyo3,2011-03-22 16:28 CET,0.16,msvh
tokyo3,2011-03-22 17:27 CET,0.12,msvh
tokyo3,2011-03-22 19:54 CET,0.11,msvh
tokyo3,2011-03-22 20:53 CET,0.1,msvh
tokyo3,2011-03-22 21:53 CET,0.14,msvh
tokyo3,2011-03-22 22:54 CET,0.14,msvh
tokyo3,2011-03-22 23:54 CET,0.14,msvh
tokyo3,2011-03-23 00:54 CET,0.14,msvh
tokyo3,2011-03-23 01:54 CET,0.15,msvh
tokyo3,2011-03-23 02:54 CET,0.15,msvh
tokyo3,2011-03-23 03:54 CET,0.14,msvh
tokyo3,2011-03-23 04:54 CET,0.12,msvh
tokyo3,2011-03-23 05:54 CET,0.14,msvh
tokyo3,2011-03-24 01:48 CET,0.15,msvh
tokyo3,2011-03-24 02:48 CET,0.11,msvh
tokyo3,2011-03-24 03:49 CET,0.12,msvh
tokyo3,2011-03-24 04:49 CET,0.15,msvh
tokyo3,2011-03-24 05:49 CET,0.15,msvh
tokyo3,2011-03-25 00:48 CET,0.15,msvh
tokyo3,2011-03-25 01:49 CET,0.14,msvh
tokyo3,2011-03-25 02:49 CET,0.13,msvh
tokyo3,2011-03-25 03:49 CET,0.12,msvh
tokyo3,2011-03-25 04:49 CET,0.13,msvh
tokyo3,2011-03-25 05:49 CET,0.13,msvh
tokyo3,2011-03-25 06:49 CET,0.15,msvh
tokyo3,2011-03-25 07:48 CET,0.15,msvh
tokyo3,2011-03-25 08:48 CET,0.14,msvh
tokyo3,2011-03-26 13:09 CET,0.16,msvh
tokyo3,2011-03-26 14:10 CET,0.16,msvh
tokyo3,2011-03-26 15:09 CET,0.14,msvh
tokyo3,2011-03-26 16:10 CET,0.14,msvh
tokyo3,2011-03-26 17:10 CET,0.14,msvh
tokyo3,2011-03-26 19:10 CET,0.12,msvh
tokyo3,2011-03-26 20:10 CET,0.13,msvh
tokyo3,2011-03-26 21:10 CET,0.13,msvh
tokyo3,2011-03-27 17:38 CEST,0.15,msvh
tokyo3,2011-03-27 18:38 CEST,0.11,msvh
tokyo3,2011-03-27 19:38 CEST,0.17,msvh
tokyo3,2011-03-28 13:25 CEST,0.08,msvh
tokyo3,2011-03-28 14:24 CEST,0.15,msvh
tokyo3,2011-03-28 23:34 CEST,0.13,msvh
tokyo3,2011-03-29 01:35 CEST,0.11,msvh
tokyo3,2011-03-29 02:35 CEST,0.15,msvh
tokyo3,2011-03-29 03:35 CEST,0.13,msvh
tokyo3,2011-03-29 04:36 CEST,0.12,msvh
tokyo3,2011-03-29 05:36 CEST,0.15,msvh
tokyo3,2011-03-29 06:36 CEST,0.12,msvh
tokyo3,2011-03-29 07:36 CEST,0.12,msvh
tokyo3,2011-03-29 08:36 CEST,0.13,msvh
tokyo3,2011-03-29 09:36 CEST,0.13,msvh
tokyo3,2011-03-29 10:36 CEST,0.12,msvh
tokyo3,2011-03-30 00:07 CEST,0.13,msvh
tokyo3,2011-03-30 01:07 CEST,0.14,msvh
tokyo3,2011-03-30 02:07 CEST,0.14,msvh
tokyo3,2011-03-30 03:07 CEST,0.19,msvh
tokyo3,2011-03-30 04:07 CEST,0.14,msvh
tokyo3,2011-03-30 05:07 CEST,0.13,msvh
tokyo3,2011-03-30 06:07 CEST,0.13,msvh
tokyo3,2011-03-30 07:07 CEST,0.14,msvh
tokyo3,2011-03-31 15:46 CEST,0.11,msvh
tokyo3,2011-04-02 22:36 CEST,0.15,msvh
moriya1,2011-03-19 14:03 CET,0.13,msvh
moriya1,2011-03-19 14:17 CET,0.12,msvh
moriya1,2011-03-19 14:30 CET,0.09,msvh
moriya1,2011-03-19 14:35 CET,0.11,msvh
moriya1,2011-03-19 14:39 CET,0.13,msvh
moriya1,2011-03-19 14:43 CET,0.14,msvh
moriya1,2011-03-19 14:47 CET,0.09,msvh
moriya1,2011-03-19 15:21 CET,0.11,msvh
moriya1,2011-03-19 15:48 CET,0.1,msvh
moriya1,2011-03-19 16:18 CET,0.13,msvh
moriya1,2011-03-19 16:47 CET,0.14,msvh
moriya1,2011-03-19 17:17 CET,0.1,msvh
moriya1,2011-03-19 17:48 CET,0.11,msvh
moriya1,2011-03-19 18:18 CET,0.11,msvh
moriya1,2011-03-19 18:48 CET,0.13,msvh
moriya1,2011-03-19 19:17 CET,0.11,msvh
moriya1,2011-03-19 19:48 CET,0.13,msvh
moriya1,2011-03-19 20:18 CET,0.09,msvh
moriya1,2011-03-19 20:48 CET,0.12,msvh
moriya1,2011-03-19 21:18 CET,0.13,msvh
moriya1,2011-03-19 21:48 CET,0.12,msvh
moriya1,2011-03-19 22:18 CET,0.1,msvh
moriya1,2011-03-20 00:01 CET,0.12,msvh
moriya1,2011-03-20 00:18 CET,0.11,msvh
moriya1,2011-03-20 00:49 CET,0.11,msvh
moriya1,2011-03-20 01:19 CET,0.1,msvh
moriya1,2011-03-20 01:49 CET,0.11,msvh
moriya1,2011-03-20 02:19 CET,0.12,msvh
moriya1,2011-03-20 02:49 CET,0.12,msvh
moriya1,2011-03-20 03:19 CET,0.1,msvh
moriya1,2011-03-20 12:19 CET,0.14,msvh
moriya1,2011-03-20 12:49 CET,0.12,msvh
moriya1,2011-03-20 13:18 CET,0.13,msvh
moriya1,2011-03-20 13:48 CET,0.08,msvh
sakura1,2011-03-20 18:18 CET,0.1,msvh
sakura1,2011-03-20 18:49 CET,0.16,msvh
sakura1,2011-03-20 19:19 CET,0.09,msvh
sakura1,2011-03-20 19:48 CET,0.13,msvh
sakura1,2011-03-20 20:19 CET,0.11,msvh
sakura1,2011-03-20 20:49 CET,0.11,msvh
sakura1,2011-03-20 21:19 CET,0.09,msvh
sakura1,2011-03-20 21:48 CET,0.11,msvh
sakura1,2011-03-21 00:56 CET,0.14,msvh
sakura1,2011-03-21 01:26 CET,0.11,msvh
sakura1,2011-03-21 01:56 CET,0.13,msvh
sakura1,2011-03-21 02:26 CET,0.15,msvh
sakura1,2011-03-21 02:56 CET,0.12,msvh
sakura1,2011-03-21 03:26 CET,0.12,msvh
sakura1,2011-03-21 03:56 CET,0.12,msvh
sakura1,2011-03-21 04:26 CET,0.1,msvh
sakura1,2011-03-21 04:56 CET,0.12,msvh
sakura1,2011-03-21 05:26 CET,0.11,msvh
sakura1,2011-03-21 05:56 CET,0.1,msvh
sakura1,2011-03-21 06:26 CET,0.12,msvh
sakura1,2011-03-21 06:56 CET,0.12,msvh
sakura1,2011-03-21 07:26 CET,0.14,msvh
sakura1,2011-03-21 07:56 CET,0.12,msvh
sakura1,2011-03-21 08:26 CET,0.16,msvh
sakura1,2011-03-21 08:56 CET,0.1,msvh
sakura1,2011-03-21 09:26 CET,0.12,msvh
sakura1,2011-03-21 09:56 CET,0.09,msvh
sakura1,2011-03-21 10:26 CET,0.12,msvh
sakura1,2011-03-21 10:56 CET,0.13,msvh
sakura1,2011-03-21 11:26 CET,0.12,msvh
sakura1,2011-03-21 11:56 CET,0.09,msvh
sakura1,2011-03-21 12:26 CET,0.13,msvh
sakura1,2011-03-21 12:56 CET,0.13,msvh
sakura1,2011-03-21 13:26 CET,0.16,msvh
sakura1,2011-03-21 13:56 CET,0.12,msvh
sakura1,2011-03-21 14:26 CET,0.12,msvh
sakura1,2011-03-21 14:56 CET,0.12,msvh
sakura1,2011-03-21 15:26 CET,0.15,msvh
sakura1,2011-03-21 15:56 CET,0.14,msvh
sakura1,2011-03-21 16:26 CET,0.11,msvh
sakura1,2011-03-21 16:56 CET,0.11,msvh
sakura1,2011-03-21 17:26 CET,0.13,msvh
sakura1,2011-03-21 17:56 CET,0.14,msvh
sakura1,2011-03-21 18:26 CET,0.12,msvh
sakura1,2011-03-21 18:56 CET,0.11,msvh
sakura1,2011-03-21 19:26 CET,0.13,msvh
sakura1,2011-03-21 19:56 CET,0.14,msvh
sakura1,2011-03-21 20:26 CET,0.13,msvh
sakura1,2011-03-21 22:18 CET,0.13,msvh
sakura1,2011-03-21 23:19 CET,0.12,msvh
sakura1,2011-03-22 00:19 CET,0.14,msvh
sakura1,2011-03-22 01:26 CET,0.09,msvh
sakura1,2011-03-22 02:27 CET,0.15,msvh
sakura1,2011-03-22 03:27 CET,0.12,msvh
sakura1,2011-03-22 04:27 CET,0.13,msvh
sakura1,2011-03-22 05:27 CET,0.13,msvh
sakura1,2011-03-22 07:27 CET,0.11,msvh
sakura1,2011-03-22 08:27 CET,0.11,msvh
sakura1,2011-03-22 09:27 CET,0.1,msvh
sakura1,2011-03-23 01:54 CET,0.15,msvh
sakura1,2011-03-23 02:54 CET,0.14,msvh
sakura1,2011-03-23 03:54 CET,0.13,msvh
sakura1,2011-03-23 04:54 CET,0.11,msvh
sakura1,2011-03-23 05:54 CET,0.13,msvh
sakura1,2011-03-23 13:47 CET,0.14,msvh
sakura1,2011-03-23 14:48 CET,0.13,msvh
sakura1,2011-03-23 15:48 CET,0.12,msvh
sakura1,2011-03-23 16:48 CET,0.13,msvh
sakura1,2011-03-23 17:48 CET,0.15,msvh
sakura1,2011-03-23 18:48 CET,0.13,msvh
sakura1,2011-03-23 19:48 CET,0.13,msvh
sakura1,2011-03-23 20:48 CET,0.13,msvh
